home_team_name,away_team_name,home_score,away_score,match_date,kick_off,match_id_required,competition_stage_name,Home_Possesion,Away_Posession,Home_Shots,Away_Shot,Home_on_target,Away_away_on_target,Home_pass,Away_pass
Croatia,Denmark,1,1,2018-07-01,21:00:00.000,7581,Round of 16,52.88080242593889,47.11919757406112,26,19,11,8,665,581
Australia,Peru,0,2,2018-06-26,16:00:00.000,7562,Group Stage,56.718061674008815,43.281938325991185,16,4,2,3,575,431
Nigeria,Iceland,2,0,2018-06-22,17:00:00.000,7549,Group Stage,61.21118012422361,38.7888198757764,17,10,5,3,529,339
Serbia,Brazil,0,2,2018-06-27,20:00:00.000,7565,Group Stage,40.46511627906977,59.53488372093023,11,15,1,7,447,653
Iran,Portugal,1,1,2018-06-25,20:00:00.000,7557,Group Stage,27.124490435873316,72.87550956412669,9,15,2,4,239,630
Mexico,Sweden,0,3,2018-06-27,16:00:00.000,7566,Group Stage,71.7414341222183,28.258565877781706,23,15,3,5,508,254
Brazil,Costa Rica,2,0,2018-06-22,14:00:00.000,7548,Group Stage,74.35483870967742,25.645161290322584,23,4,10,0,750,293
Germany,Mexico,0,1,2018-06-17,17:00:00.000,7534,Group Stage,65.58704453441295,34.41295546558704,26,12,9,4,619,324
Portugal,Spain,3,3,2018-06-15,20:00:00.000,7576,Group Stage,34.761675493500235,65.23832450649975,10,12,3,6,388,780
Russia,Egypt,3,1,2018-06-19,20:00:00.000,7540,Group Stage,47.894893998208424,52.105106001791576,12,16,4,2,467,484
Switzerland,Costa Rica,2,2,2018-06-27,20:00:00.000,7568,Group Stage,62.05250596658711,37.94749403341289,14,14,4,8,595,362
Panama,Tunisia,1,2,2018-06-28,20:00:00.000,7569,Group Stage,30.82111436950147,69.17888563049853,9,16,4,6,291,648
England,Belgium,0,1,2018-06-28,20:00:00.000,7570,Group Stage,49.07175112895133,50.92824887104867,12,14,1,3,514,569
France,Belgium,1,0,2018-07-10,21:00:00.000,8655,Semi-finals,38.431723315444245,61.568276684555755,19,9,5,2,367,623
Belgium,England,2,0,2018-07-14,21:00:00.000,8657,3rd Place Final,43.8770899231812,56.1229100768188,11,15,4,5,499,685
Iran,Spain,0,1,2018-06-20,20:00:00.000,7543,Group Stage,24.46363160648875,75.53636839351125,6,18,0,3,262,816
Uruguay,Russia,3,0,2018-06-25,16:00:00.000,7558,Group Stage,58.88480392156863,41.11519607843137,16,4,6,1,526,377
Croatia,Nigeria,2,0,2018-06-16,21:00:00.000,7529,Group Stage,50.87296809151114,49.12703190848886,11,14,2,2,503,425
France,Peru,1,0,2018-06-21,17:00:00.000,7546,Group Stage,43.05184393372528,56.94815606627473,12,12,4,3,435,548
Tunisia,England,1,2,2018-06-18,20:00:00.000,7537,Group Stage,38.90140845070423,61.098591549295776,6,18,1,8,368,570
Argentina,Croatia,0,3,2018-06-21,20:00:00.000,7545,Group Stage,58.157666762922325,41.842333237077675,10,14,3,6,535,382
Belgium,Panama,3,0,2018-06-18,17:00:00.000,7536,Group Stage,62.854803493449786,37.14519650655022,15,7,6,2,610,364
France,Australia,2,1,2018-06-16,12:00:00.000,7530,Group Stage,57.24157788655341,42.758422113446585,12,6,4,2,549,444
Costa Rica,Serbia,0,1,2018-06-17,14:00:00.000,7535,Group Stage,50.7382972038957,49.26170279610431,10,12,3,2,481,439
Sweden,South Korea,1,0,2018-06-18,14:00:00.000,7538,Group Stage,55.22771007055805,44.772289929441946,16,5,4,0,477,382
Brazil,Switzerland,1,1,2018-06-17,20:00:00.000,7533,Group Stage,58.67830423940149,41.3216957605985,21,7,4,2,555,458
Spain,Morocco,2,2,2018-06-25,20:00:00.000,7560,Group Stage,73.99277577104752,26.007224228952484,18,8,3,4,753,251
Russia,Saudi Arabia,5,0,2018-06-14,17:00:00.000,7525,Group Stage,39.84939759036145,60.15060240963855,14,5,7,0,388,571
Peru,Denmark,0,1,2018-06-16,18:00:00.000,7532,Group Stage,53.76170487568614,46.23829512431385,17,11,6,3,435,402
