Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Bayern Munich,2,Hertha BSC,2,1
Bor. Dortmund,5,FC Augsburg,1,1
Bay. Leverkusen,3,SC Paderborn,2,1
VfL Wolfsburg,2,1. FC Köln,1,1
Werder Bremen,1,F. Düsseldorf,3,1
SC Freiburg,3,1.FSV Mainz 05,0,1
Bor. M'gladbach,0,FC Schalke 04,0,1
E. Frankfurt,1,TSG Hoffenheim,0,1
Union Berlin,0,RB Leipzig,4,1
1. FC Köln,1,Bor. Dortmund,3,2
TSG Hoffenheim,3,Werder Bremen,2,2
F. Düsseldorf,1,Bay. Leverkusen,3,2
1.FSV Mainz 05,1,Bor. M'gladbach,3,2
FC Augsburg,1,Union Berlin,1,2
SC Paderborn,1,SC Freiburg,3,2
FC Schalke 04,0,Bayern Munich,3,2
RB Leipzig,2,E. Frankfurt,1,2
Hertha BSC,0,VfL Wolfsburg,3,2
Bor. M'gladbach,1,RB Leipzig,3,3
Bayern Munich,6,1.FSV Mainz 05,1,3
Bay. Leverkusen,0,TSG Hoffenheim,0,3
VfL Wolfsburg,1,SC Paderborn,1,3
SC Freiburg,1,1. FC Köln,2,3
FC Schalke 04,3,Hertha BSC,0,3
Union Berlin,3,Bor. Dortmund,1,3
Werder Bremen,3,FC Augsburg,2,3
E. Frankfurt,2,F. Düsseldorf,1,3
F. Düsseldorf,1,VfL Wolfsburg,1,4
Bor. Dortmund,4,Bay. Leverkusen,0,4
1.FSV Mainz 05,2,Hertha BSC,1,4
FC Augsburg,2,E. Frankfurt,1,4
1. FC Köln,0,Bor. M'gladbach,1,4
Union Berlin,1,Werder Bremen,2,4
RB Leipzig,1,Bayern Munich,1,4
TSG Hoffenheim,0,SC Freiburg,3,4
SC Paderborn,1,FC Schalke 04,5,4
FC Schalke 04,2,1.FSV Mainz 05,1,5
Bayern Munich,4,1. FC Köln,0,5
Bay. Leverkusen,2,Union Berlin,0,5
Hertha BSC,2,SC Paderborn,1,5
SC Freiburg,1,FC Augsburg,1,5
Werder Bremen,0,RB Leipzig,3,5
Bor. M'gladbach,2,F. Düsseldorf,1,5
E. Frankfurt,2,Bor. Dortmund,2,5
VfL Wolfsburg,1,TSG Hoffenheim,1,5
Union Berlin,1,E. Frankfurt,2,6
RB Leipzig,1,FC Schalke 04,3,6
TSG Hoffenheim,0,Bor. M'gladbach,3,6
1.FSV Mainz 05,0,VfL Wolfsburg,1,6
FC Augsburg,0,Bay. Leverkusen,3,6
SC Paderborn,2,Bayern Munich,3,6
Bor. Dortmund,2,Werder Bremen,2,6
F. Düsseldorf,1,SC Freiburg,2,6
1. FC Köln,0,Hertha BSC,4,6
Hertha BSC,3,F. Düsseldorf,1,7
Bayern Munich,1,TSG Hoffenheim,2,7
Bay. Leverkusen,1,RB Leipzig,1,7
SC Freiburg,2,Bor. Dortmund,2,7
SC Paderborn,1,1.FSV Mainz 05,2,7
FC Schalke 04,1,1. FC Köln,1,7
Bor. M'gladbach,5,FC Augsburg,1,7
VfL Wolfsburg,1,Union Berlin,0,7
E. Frankfurt,2,Werder Bremen,2,7
E. Frankfurt,3,Bay. Leverkusen,0,8
RB Leipzig,1,VfL Wolfsburg,1,8
Werder Bremen,1,Hertha BSC,1,8
F. Düsseldorf,1,1.FSV Mainz 05,0,8
FC Augsburg,2,Bayern Munich,2,8
Union Berlin,2,SC Freiburg,0,8
Bor. Dortmund,1,Bor. M'gladbach,0,8
1. FC Köln,3,SC Paderborn,0,8
TSG Hoffenheim,2,FC Schalke 04,0,8
1.FSV Mainz 05,3,1. FC Köln,1,9
Bayern Munich,2,Union Berlin,1,9
Hertha BSC,2,TSG Hoffenheim,3,9
SC Freiburg,2,RB Leipzig,1,9
FC Schalke 04,0,Bor. Dortmund,0,9
SC Paderborn,2,F. Düsseldorf,0,9
Bay. Leverkusen,2,Werder Bremen,2,9
VfL Wolfsburg,0,FC Augsburg,0,9
Bor. M'gladbach,4,E. Frankfurt,2,9
TSG Hoffenheim,3,SC Paderborn,0,10
Bor. Dortmund,3,VfL Wolfsburg,0,10
RB Leipzig,8,1.FSV Mainz 05,0,10
Bay. Leverkusen,1,Bor. M'gladbach,2,10
E. Frankfurt,5,Bayern Munich,1,10
Werder Bremen,2,SC Freiburg,2,10
Union Berlin,1,Hertha BSC,0,10
F. Düsseldorf,2,1. FC Köln,0,10
FC Augsburg,2,FC Schalke 04,3,10
1. FC Köln,1,TSG Hoffenheim,2,11
Hertha BSC,2,RB Leipzig,4,11
1.FSV Mainz 05,2,Union Berlin,3,11
FC Schalke 04,3,F. Düsseldorf,3,11
SC Paderborn,0,FC Augsburg,1,11
Bayern Munich,4,Bor. Dortmund,0,11
Bor. M'gladbach,3,Werder Bremen,1,11
VfL Wolfsburg,0,Bay. Leverkusen,2,11
SC Freiburg,1,E. Frankfurt,0,11
Bor. Dortmund,3,SC Paderborn,3,12
Bay. Leverkusen,1,SC Freiburg,1,12
E. Frankfurt,0,VfL Wolfsburg,2,12
Werder Bremen,1,FC Schalke 04,2,12
F. Düsseldorf,0,Bayern Munich,4,12
Union Berlin,2,Bor. M'gladbach,0,12
RB Leipzig,4,1. FC Köln,1,12
FC Augsburg,4,Hertha BSC,0,12
TSG Hoffenheim,1,1.FSV Mainz 05,5,12
FC Schalke 04,2,Union Berlin,1,13
TSG Hoffenheim,1,F. Düsseldorf,1,13
Hertha BSC,1,Bor. Dortmund,2,13
1. FC Köln,1,FC Augsburg,1,13
SC Paderborn,2,RB Leipzig,3,13
Bayern Munich,1,Bay. Leverkusen,2,13
Bor. M'gladbach,4,SC Freiburg,2,13
VfL Wolfsburg,2,Werder Bremen,3,13
1.FSV Mainz 05,2,E. Frankfurt,1,13
E. Frankfurt,2,Hertha BSC,2,14
Bor. Dortmund,5,F. Düsseldorf,0,14
RB Leipzig,3,TSG Hoffenheim,1,14
Bor. M'gladbach,2,Bayern Munich,1,14
SC Freiburg,1,VfL Wolfsburg,0,14
FC Augsburg,2,1.FSV Mainz 05,1,14
Bay. Leverkusen,2,FC Schalke 04,1,14
Union Berlin,2,1. FC Köln,0,14
Werder Bremen,0,SC Paderborn,1,14
TSG Hoffenheim,2,FC Augsburg,4,15
Bayern Munich,6,Werder Bremen,1,15
Hertha BSC,1,SC Freiburg,0,15
1.FSV Mainz 05,0,Bor. Dortmund,4,15
1. FC Köln,2,Bay. Leverkusen,0,15
SC Paderborn,1,Union Berlin,1,15
F. Düsseldorf,0,RB Leipzig,3,15
VfL Wolfsburg,2,Bor. M'gladbach,1,15
FC Schalke 04,1,E. Frankfurt,0,15
Werder Bremen,0,1.FSV Mainz 05,5,16
Bor. Dortmund,3,RB Leipzig,3,16
FC Augsburg,3,F. Düsseldorf,0,16
Union Berlin,0,TSG Hoffenheim,2,16
Bay. Leverkusen,0,Hertha BSC,1,16
Bor. M'gladbach,2,SC Paderborn,0,16
VfL Wolfsburg,1,FC Schalke 04,1,16
E. Frankfurt,2,1. FC Köln,4,16
SC Freiburg,1,Bayern Munich,3,16
TSG Hoffenheim,2,Bor. Dortmund,1,17
Bayern Munich,2,VfL Wolfsburg,0,17
RB Leipzig,3,FC Augsburg,1,17
1.FSV Mainz 05,0,Bay. Leverkusen,1,17
FC Schalke 04,2,SC Freiburg,2,17
1. FC Köln,1,Werder Bremen,0,17
Hertha BSC,0,Bor. M'gladbach,0,17
F. Düsseldorf,2,Union Berlin,1,17
