Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Athletic,1,FC Barcelona,0,1
Celta de Vigo,1,Real Madrid,3,1
Valencia,1,Real Sociedad,1,1
RCD Mallorca,2,SD Eibar,1,1
CD Leganés,0,CA Osasuna,1,1
Villarreal,4,Granada CF,4,1
Alavés,1,Levante,0,1
Espanyol,0,Sevilla FC,2,1
Real Betis,1,Real Valladolid,2,1
Atlético Madrid,1,Getafe,0,1
Granada CF,0,Sevilla FC,1,2
Levante,2,Villarreal,1,2
CA Osasuna,0,SD Eibar,0,2
Real Madrid,1,Real Valladolid,1,2
Celta de Vigo,1,Valencia,0,2
Getafe,1,Athletic,1,2
Alavés,0,Espanyol,0,2
RCD Mallorca,0,Real Sociedad,1,2
CD Leganés,0,Atlético Madrid,1,2
FC Barcelona,5,Real Betis,2,2
Sevilla FC,1,Celta de Vigo,1,3
Athletic,2,Real Sociedad,0,3
CA Osasuna,2,FC Barcelona,2,3
Getafe,1,Alavés,1,3
Levante,2,Real Valladolid,0,3
Real Betis,2,CD Leganés,1,3
Valencia,2,RCD Mallorca,0,3
Atlético Madrid,3,SD Eibar,2,3
Espanyol,0,Granada CF,3,3
Villarreal,2,Real Madrid,2,3
RCD Mallorca,0,Athletic,0,4
Real Madrid,3,Levante,2,4
CD Leganés,0,Villarreal,3,4
Real Sociedad,2,Atlético Madrid,0,4
FC Barcelona,5,Valencia,2,4
SD Eibar,1,Espanyol,2,4
Alavés,0,Sevilla FC,1,4
Celta de Vigo,0,Granada CF,2,4
Real Valladolid,1,CA Osasuna,1,4
Real Betis,1,Getafe,1,4
CA Osasuna,0,Real Betis,0,5
Villarreal,2,Real Valladolid,0,5
Levante,0,SD Eibar,0,5
Atlético Madrid,0,Celta de Vigo,0,5
Granada CF,2,FC Barcelona,0,5
Getafe,4,RCD Mallorca,2,5
Espanyol,1,Real Sociedad,3,5
Valencia,1,CD Leganés,1,5
Athletic,2,Alavés,0,5
Sevilla FC,0,Real Madrid,1,5
Real Valladolid,1,Granada CF,1,6
Real Betis,3,Levante,1,6
FC Barcelona,2,Villarreal,1,6
CD Leganés,1,Athletic,1,6
RCD Mallorca,0,Atlético Madrid,2,6
Valencia,3,Getafe,3,6
Real Madrid,2,CA Osasuna,0,6
SD Eibar,3,Sevilla FC,2,6
Celta de Vigo,1,Espanyol,1,6
Real Sociedad,3,Alavés,0,6
Villarreal,5,Real Betis,1,7
Athletic,0,Valencia,1,7
Getafe,0,FC Barcelona,2,7
Granada CF,1,CD Leganés,0,7
Atlético Madrid,0,Real Madrid,0,7
Espanyol,0,Real Valladolid,2,7
SD Eibar,2,Celta de Vigo,0,7
Alavés,2,RCD Mallorca,0,7
Levante,1,CA Osasuna,1,7
Sevilla FC,3,Real Sociedad,2,7
Real Betis,1,SD Eibar,1,8
CD Leganés,1,Levante,2,8
Real Madrid,4,Granada CF,2,8
Valencia,2,Alavés,1,8
CA Osasuna,2,Villarreal,1,8
RCD Mallorca,2,Espanyol,0,8
Celta de Vigo,1,Athletic,0,8
Real Valladolid,0,Atlético Madrid,0,8
Real Sociedad,1,Getafe,2,8
FC Barcelona,4,Sevilla FC,0,8
Granada CF,1,CA Osasuna,0,9
SD Eibar,0,FC Barcelona,3,9
Atlético Madrid,1,Valencia,1,9
Getafe,2,CD Leganés,0,9
RCD Mallorca,1,Real Madrid,0,9
Alavés,2,Celta de Vigo,0,9
Real Sociedad,3,Real Betis,1,9
Espanyol,0,Villarreal,1,9
Athletic,1,Real Valladolid,1,9
Sevilla FC,1,Levante,0,9
Villarreal,4,Alavés,1,10
CD Leganés,1,RCD Mallorca,0,10
Real Valladolid,2,SD Eibar,0,10
Atlético Madrid,2,Athletic,0,10
Celta de Vigo,0,Real Sociedad,1,10
Granada CF,1,Real Betis,0,10
Levante,0,Espanyol,1,10
Sevilla FC,2,Getafe,0,10
CA Osasuna,3,Valencia,1,10
FC Barcelona,0,Real Madrid,0,10
Alavés,1,Atlético Madrid,1,11
FC Barcelona,5,Real Valladolid,1,11
Real Sociedad,1,Levante,2,11
Valencia,1,Sevilla FC,1,11
Athletic,3,Espanyol,0,11
Real Betis,2,Celta de Vigo,1,11
Real Madrid,5,CD Leganés,0,11
SD Eibar,2,Villarreal,1,11
RCD Mallorca,2,CA Osasuna,2,11
Getafe,3,Granada CF,1,11
Espanyol,1,Valencia,2,12
Levante,3,FC Barcelona,1,12
Sevilla FC,1,Atlético Madrid,1,12
Real Madrid,0,Real Betis,0,12
Real Valladolid,3,RCD Mallorca,0,12
Villarreal,0,Athletic,0,12
CA Osasuna,4,Alavés,2,12
Celta de Vigo,0,Getafe,1,12
CD Leganés,1,SD Eibar,2,12
Granada CF,1,Real Sociedad,2,12
Real Sociedad,1,CD Leganés,1,13
Alavés,3,Real Valladolid,0,13
Valencia,2,Granada CF,0,13
SD Eibar,0,Real Madrid,4,13
FC Barcelona,4,Celta de Vigo,1,13
RCD Mallorca,3,Villarreal,1,13
Athletic,2,Levante,1,13
Atlético Madrid,3,Espanyol,1,13
Getafe,0,CA Osasuna,0,13
Real Betis,1,Sevilla FC,2,13
Levante,2,RCD Mallorca,1,14
CD Leganés,1,FC Barcelona,2,14
Real Betis,2,Valencia,1,14
Granada CF,1,Atlético Madrid,1,14
Real Madrid,3,Real Sociedad,1,14
Espanyol,1,Getafe,1,14
CA Osasuna,1,Athletic,2,14
SD Eibar,0,Alavés,2,14
Villarreal,1,Celta de Vigo,3,14
