Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Monaco,0,Olympique Lyon,3,1
Stade Brest 29,1,Toulouse,1,1
Marseille,0,Reims,2,1
SCO Angers,3,G. Bordeaux,1,1
Dijon,1,Saint-Étienne,2,1
Montpellier,0,Stade Rennais,1,1
OGC Nice,2,Amiens SC,1,1
LOSC Lille,2,FC Nantes,1,1
R. Strasbourg,1,FC Metz,1,1
Paris SG,3,Nîmes Olympique,0,1
Olympique Lyon,6,SCO Angers,0,2
FC Nantes,0,Marseille,0,2
FC Metz,3,Monaco,0,2
Toulouse,1,Dijon,0,2
Nîmes Olympique,1,OGC Nice,2,2
Amiens SC,1,LOSC Lille,0,2
G. Bordeaux,1,Montpellier,1,2
Saint-Étienne,1,Stade Brest 29,1,2
Reims,0,R. Strasbourg,0,2
Stade Rennais,2,Paris SG,1,2
Amiens SC,1,FC Nantes,2,3
Dijon,0,G. Bordeaux,2,3
SCO Angers,3,FC Metz,0,3
Stade Brest 29,1,Reims,0,3
Monaco,2,Nîmes Olympique,2,3
R. Strasbourg,0,Stade Rennais,2,3
Paris SG,4,Toulouse,0,3
Montpellier,1,Olympique Lyon,0,3
LOSC Lille,3,Saint-Étienne,0,3
OGC Nice,1,Marseille,2,3
FC Metz,0,Paris SG,2,4
Olympique Lyon,1,G. Bordeaux,1,4
SCO Angers,2,Dijon,0,4
Toulouse,2,Amiens SC,0,4
FC Nantes,1,Montpellier,0,4
Nîmes Olympique,3,Stade Brest 29,0,4
Reims,2,LOSC Lille,0,4
Stade Rennais,1,OGC Nice,2,4
R. Strasbourg,2,Monaco,2,4
Marseille,1,Saint-Étienne,0,4
LOSC Lille,2,SCO Angers,1,5
Amiens SC,2,Olympique Lyon,2,5
Paris SG,1,R. Strasbourg,0,5
Dijon,0,Nîmes Olympique,0,5
Montpellier,2,OGC Nice,1,5
Stade Brest 29,0,Stade Rennais,0,5
G. Bordeaux,2,FC Metz,0,5
FC Nantes,1,Reims,0,5
Saint-Étienne,2,Toulouse,2,5
Monaco,3,Marseille,4,5
R. Strasbourg,2,FC Nantes,1,6
Marseille,1,Montpellier,1,6
Reims,0,Monaco,0,6
FC Metz,1,Amiens SC,2,6
G. Bordeaux,2,Stade Brest 29,2,6
Nîmes Olympique,1,Toulouse,0,6
OGC Nice,2,Dijon,1,6
Stade Rennais,1,LOSC Lille,1,6
SCO Angers,4,Saint-Étienne,1,6
Olympique Lyon,0,Paris SG,1,6
Dijon,0,Marseille,0,7
Monaco,3,OGC Nice,1,7
Stade Brest 29,2,Olympique Lyon,2,7
FC Nantes,1,Stade Rennais,0,7
Saint-Étienne,0,FC Metz,1,7
Montpellier,1,Nîmes Olympique,0,7
Toulouse,0,SCO Angers,2,7
LOSC Lille,2,R. Strasbourg,0,7
Amiens SC,1,G. Bordeaux,3,7
Paris SG,0,Reims,2,7
Olympique Lyon,0,FC Nantes,1,8
G. Bordeaux,0,Paris SG,1,8
OGC Nice,1,LOSC Lille,1,8
SCO Angers,1,Amiens SC,1,8
Monaco,4,Stade Brest 29,1,8
FC Metz,2,Toulouse,2,8
Reims,1,Dijon,2,8
R. Strasbourg,1,Montpellier,0,8
Nîmes Olympique,0,Saint-Étienne,1,8
Marseille,1,Stade Rennais,1,8
Amiens SC,3,Marseille,1,9
Paris SG,4,SCO Angers,0,9
Dijon,1,R. Strasbourg,0,9
Montpellier,3,Monaco,1,9
Toulouse,1,G. Bordeaux,3,9
Stade Brest 29,2,FC Metz,0,9
FC Nantes,1,OGC Nice,0,9
LOSC Lille,2,Nîmes Olympique,2,9
Stade Rennais,0,Reims,1,9
Saint-Étienne,1,Olympique Lyon,0,9
OGC Nice,1,Paris SG,4,10
Olympique Lyon,0,Dijon,0,10
Reims,1,Montpellier,0,10
SCO Angers,0,Stade Brest 29,1,10
FC Metz,1,FC Nantes,0,10
Toulouse,2,LOSC Lille,1,10
Nîmes Olympique,1,Amiens SC,1,10
G. Bordeaux,0,Saint-Étienne,1,10
Monaco,3,Stade Rennais,2,10
Marseille,2,R. Strasbourg,0,10
FC Nantes,0,Monaco,1,11
LOSC Lille,3,G. Bordeaux,0,11
R. Strasbourg,1,OGC Nice,0,11
