Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Liverpool,4,Norwich,1,1
West Ham,0,Man City,5,1
Crystal Palace,0,Everton,0,1
Watford,0,Brighton,3,1
Burnley,3,Southampton,0,1
Bournemouth,1,Sheffield Utd.,1,1
Spurs,3,Aston Villa,1,1
Newcastle,0,Arsenal,1,1
Leicester,0,Wolves,0,1
Man Utd,4,Chelsea,0,1
Arsenal,2,Burnley,1,2
Norwich,3,Newcastle,1,2
Southampton,1,Liverpool,2,2
Brighton,1,West Ham,1,2
Aston Villa,1,Bournemouth,2,2
Everton,1,Watford,0,2
Man City,2,Spurs,2,2
Sheffield Utd.,1,Crystal Palace,0,2
Chelsea,1,Leicester,1,2
Wolves,1,Man Utd,1,2
Aston Villa,2,Everton,0,3
Norwich,2,Chelsea,3,3
Watford,1,West Ham,3,3
Sheffield Utd.,1,Leicester,2,3
Brighton,0,Southampton,2,3
Man Utd,1,Crystal Palace,2,3
Liverpool,3,Arsenal,1,3
Bournemouth,1,Man City,3,3
Spurs,0,Newcastle,1,3
Wolves,1,Burnley,1,3
Southampton,1,Man Utd,1,4
West Ham,2,Norwich,0,4
Newcastle,1,Watford,1,4
Man City,4,Brighton,0,4
Chelsea,2,Sheffield Utd.,2,4
Crystal Palace,1,Aston Villa,0,4
Leicester,3,Bournemouth,1,4
Burnley,0,Liverpool,3,4
Everton,3,Wolves,2,4
Arsenal,2,Spurs,2,4
Liverpool,3,Newcastle,1,5
Spurs,4,Crystal Palace,0,5
Sheffield Utd.,0,Southampton,1,5
Wolves,2,Chelsea,5,5
Brighton,1,Burnley,1,5
Man Utd,1,Leicester,0,5
Norwich,3,Man City,2,5
Bournemouth,3,Everton,1,5
Watford,2,Arsenal,2,5
Aston Villa,0,West Ham,0,5
Southampton,1,Bournemouth,3,6
Leicester,2,Spurs,1,6
Man City,8,Watford,0,6
Burnley,2,Norwich,0,6
Everton,0,Sheffield Utd.,2,6
Newcastle,0,Brighton,0,6
West Ham,2,Man Utd,0,6
Crystal Palace,1,Wolves,1,6
Chelsea,1,Liverpool,2,6
Arsenal,3,Aston Villa,2,6
Sheffield Utd.,0,Liverpool,1,7
Wolves,2,Watford,0,7
Spurs,2,Southampton,1,7
Chelsea,2,Brighton,0,7
Bournemouth,2,West Ham,2,7
Crystal Palace,2,Norwich,0,7
Aston Villa,2,Burnley,2,7
Everton,1,Man City,3,7
Leicester,5,Newcastle,0,7
Man Utd,1,Arsenal,1,7
Brighton,3,Spurs,0,8
Watford,0,Sheffield Utd.,0,8
Norwich,1,Aston Villa,5,8
Liverpool,2,Leicester,1,8
Burnley,1,Everton,0,8
West Ham,1,Crystal Palace,2,8
Southampton,1,Chelsea,4,8
Arsenal,1,Bournemouth,0,8
Man City,0,Wolves,2,8
Newcastle,1,Man Utd,0,8
Everton,2,West Ham,0,9
Spurs,1,Watford,1,9
Wolves,1,Southampton,1,9
Leicester,2,Burnley,1,9
Aston Villa,2,Brighton,1,9
Chelsea,1,Newcastle,0,9
Bournemouth,0,Norwich,0,9
Crystal Palace,0,Man City,2,9
Man Utd,1,Liverpool,1,9
Sheffield Utd.,1,Arsenal,0,9
Southampton,0,Leicester,9,10
Man City,3,Aston Villa,0,10
Watford,0,Bournemouth,0,10
West Ham,1,Sheffield Utd.,1,10
Brighton,3,Everton,2,10
Burnley,2,Chelsea,4,10
Newcastle,1,Wolves,1,10
Norwich,1,Man Utd,3,10
Arsenal,2,Crystal Palace,2,10
Liverpool,2,Spurs,1,10
Bournemouth,1,Man Utd,0,11
Man City,2,Southampton,1,11
Sheffield Utd.,3,Burnley,0,11
West Ham,2,Newcastle,3,11
Brighton,2,Norwich,0,11
Arsenal,1,Wolves,1,11
Aston Villa,1,Liverpool,2,11
Watford,1,Chelsea,2,11
Crystal Palace,0,Leicester,2,11
Everton,1,Spurs,1,11
Norwich,0,Watford,2,12
Chelsea,2,Crystal Palace,0,12
Spurs,1,Sheffield Utd.,1,12
Southampton,1,Everton,2,12
Newcastle,2,Bournemouth,1,12
Burnley,3,West Ham,0,12
Leicester,2,Arsenal,0,12
Wolves,2,Aston Villa,1,12
Man Utd,3,Brighton,1,12
Liverpool,3,Man City,1,12
West Ham,2,Spurs,3,13
Watford,0,Burnley,3,13
Brighton,0,Leicester,2,13
Crystal Palace,1,Liverpool,2,13
Everton,0,Norwich,2,13
Arsenal,2,Southampton,2,13
Bournemouth,1,Wolves,2,13
Man City,2,Chelsea,1,13
Sheffield Utd.,3,Man Utd,3,13
Aston Villa,2,Newcastle,0,13
Newcastle,2,Man City,2,14
Spurs,3,Bournemouth,2,14
Liverpool,2,Brighton,1,14
Burnley,0,Crystal Palace,2,14
Chelsea,0,West Ham,1,14
Southampton,2,Watford,1,14
Wolves,1,Sheffield Utd.,1,14
Norwich,2,Arsenal,2,14
Man Utd,2,Aston Villa,2,14
Leicester,2,Everton,1,14
Crystal Palace,1,Bournemouth,0,15
Burnley,1,Man City,4,15
Southampton,2,Norwich,1,15
Chelsea,2,Aston Villa,1,15
Leicester,2,Watford,0,15
Man Utd,2,Spurs,1,15
Wolves,2,West Ham,0,15
Liverpool,5,Everton,2,15
Sheffield Utd.,0,Newcastle,2,15
Arsenal,1,Brighton,2,15
Everton,3,Chelsea,1,16
Watford,0,Crystal Palace,0,16
Spurs,5,Burnley,0,16
Bournemouth,0,Liverpool,3,16
Man City,1,Man Utd,2,16
Norwich,1,Sheffield Utd.,2,16
Newcastle,2,Southampton,1,16
Aston Villa,1,Leicester,4,16
Brighton,2,Wolves,2,16
West Ham,1,Arsenal,3,16
Liverpool,2,Watford,0,17
Sheffield Utd.,2,Aston Villa,0,17
Leicester,1,Norwich,1,17
Burnley,1,Newcastle,0,17
Chelsea,0,Bournemouth,1,17
Southampton,0,West Ham,1,17
Wolves,1,Spurs,2,17
Man Utd,1,Everton,1,17
Arsenal,0,Man City,3,17
Crystal Palace,1,Brighton,1,17
Everton,0,Arsenal,0,18
Norwich,1,Wolves,2,18
Newcastle,1,Crystal Palace,0,18
Brighton,0,Sheffield Utd.,1,18
Bournemouth,0,Burnley,1,18
Aston Villa,1,Southampton,3,18
Man City,3,Leicester,1,18
Watford,2,Man Utd,0,18
Spurs,0,Chelsea,2,18
West Ham,0,Liverpool,2,18
Spurs,2,Brighton,1,19
Sheffield Utd.,1,Watford,1,19
Bournemouth,1,Arsenal,1,19
Chelsea,0,Southampton,2,19
Aston Villa,1,Norwich,0,19
Crystal Palace,2,West Ham,1,19
Everton,1,Burnley,0,19
Man Utd,4,Newcastle,1,19
Leicester,0,Liverpool,4,19
Wolves,3,Man City,2,19
Brighton,2,Bournemouth,0,20
Watford,3,Aston Villa,0,20
Southampton,1,Crystal Palace,1,20
