Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Parma,0,Juventus,1,1
Fiorentina,3,SSC Napoli,4,1
Udinese Calcio,1,AC Milan,0,1
Cagliari Calcio,0,Brescia,1,1
Hellas Verona,1,Bologna,1,1
AS Roma,3,Genoa,3,1
Sampdoria,0,Lazio,3,1
SPAL,2,Atalanta,3,1
Torino,2,Sassuolo,1,1
Inter,4,Lecce,0,1
Bologna,1,SPAL,0,2
AC Milan,1,Brescia,0,2
Juventus,4,SSC Napoli,3,2
Lazio,1,AS Roma,1,2
Atalanta,2,Torino,3,2
Cagliari Calcio,1,Inter,2,2
Genoa,2,Fiorentina,1,2
Lecce,0,Hellas Verona,1,2
Sassuolo,4,Sampdoria,1,2
Udinese Calcio,1,Parma,3,2
Fiorentina,0,Juventus,0,3
SSC Napoli,2,Sampdoria,0,3
Inter,1,Udinese Calcio,0,3
Genoa,1,Atalanta,2,3
Brescia,3,Bologna,4,3
Parma,1,Cagliari Calcio,3,3
SPAL,2,Lazio,1,3
AS Roma,4,Sassuolo,2,3
Hellas Verona,0,AC Milan,1,3
Torino,1,Lecce,2,3
Cagliari Calcio,3,Genoa,1,4
Udinese Calcio,0,Brescia,1,4
Juventus,2,Hellas Verona,1,4
AC Milan,0,Inter,2,4
Sassuolo,3,SPAL,0,4
Bologna,1,AS Roma,2,4
Lecce,1,SSC Napoli,4,4
Sampdoria,1,Torino,0,4
Atalanta,2,Fiorentina,2,4
Lazio,2,Parma,0,4
Hellas Verona,0,Udinese Calcio,0,5
Brescia,1,Juventus,2,5
AS Roma,0,Atalanta,2,5
Fiorentina,2,Sampdoria,1,5
Genoa,0,Bologna,0,5
Inter,1,Lazio,0,5
SSC Napoli,0,Cagliari Calcio,1,5
Parma,1,Sassuolo,0,5
SPAL,1,Lecce,3,5
Torino,2,AC Milan,1,5
Juventus,2,SPAL,0,6
Sampdoria,1,Inter,3,6
Sassuolo,1,Atalanta,4,6
SSC Napoli,2,Brescia,1,6
Lazio,4,Genoa,0,6
Lecce,0,AS Roma,1,6
Udinese Calcio,1,Bologna,0,6
Cagliari Calcio,1,Hellas Verona,1,6
AC Milan,1,Fiorentina,3,6
Parma,3,Torino,2,6
SPAL,1,Parma,0,7
Hellas Verona,2,Sampdoria,0,7
Genoa,1,AC Milan,2,7
Fiorentina,1,Udinese Calcio,0,7
Atalanta,3,Lecce,1,7
Bologna,2,Lazio,2,7
AS Roma,1,Cagliari Calcio,1,7
Torino,0,SSC Napoli,0,7
Inter,1,Juventus,2,7
Brescia,0,Sassuolo,2,7
Lazio,3,Atalanta,3,8
SSC Napoli,2,Hellas Verona,0,8
Juventus,2,Bologna,1,8
Sassuolo,3,Inter,4,8
Cagliari Calcio,2,SPAL,0,8
Sampdoria,0,AS Roma,0,8
Udinese Calcio,1,Torino,0,8
Parma,5,Genoa,1,8
AC Milan,2,Lecce,2,8
Brescia,0,Fiorentina,0,8
Hellas Verona,0,Sassuolo,1,9
Lecce,1,Juventus,1,9
